RBD,DGV_RBD,NOM_RBD,NOM_COM_RBD,NOM_DEPROV_RBD,COD_DEPE2,DC_TOT,HH_TOT,mat_hom_tot,mat_muj_tot,mat_total
8485,9,LICEO INSTITUTO NACIONAL,SANTIAGO,SANTIAGO CENTRO,1,184,6996,4283,0,4283
8487,5,LICEO JAVIERA CARRERA,SANTIAGO,SANTIAGO CENTRO,1,139,5307,2,2964,2966
8488,3,LICEO ISAURA DINATOR DE GUZMAN,SANTIAGO,SANTIAGO CENTRO,1,59,2060,3,665,668
8489,1,LICEO BICENTENARIO TERESA PRATS,SANTIAGO,SANTIAGO CENTRO,1,53,2132,2,616,618
8490,5,LICEO NRO 2 MIGUEL LUIS AMUNATEGUI,SANTIAGO,SANTIAGO CENTRO,1,52,2023,406,368,774
8491,3,LICEO DE APLICACION RECTOR JORGE E SCHNE,SANTIAGO,SANTIAGO CENTRO,1,114,4174,1933,82,2015
8492,1,LICEO MANUEL BARROS BORGONO,SANTIAGO,SANTIAGO CENTRO,1,62,2434,974,0,974
8494,8,LICEO A-1 VALENTIN LETELIER,RECOLETA,SANTIAGO NORTE,1,38,1437,223,142,365
8495,6,LICEO CONFEDERACION SUIZA,SANTIAGO,SANTIAGO CENTRO,1,46,1575,189,150,339
8496,4,LICEO JOSÌä DE SAN MARTIN,SANTIAGO,SANTIAGO CENTRO,1,43,1562,186,182,368
8497,2,LICEO GABRIELA MISTRAL,INDEPENDENCIA,SANTIAGO NORTE,1,66,2458,654,564,1218
8498,0,LICEO DARIO SALAS,SANTIAGO,SANTIAGO CENTRO,1,52,1936,330,225,555
8499,9,INTERNADO NACIONAL BARROS ARANA,SANTIAGO,SANTIAGO CENTRO,1,121,4463,1465,0,1465
8500,6,LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS,SANTIAGO,SANTIAGO CENTRO,1,72,2726,746,125,871
8501,4,LICEO POLITEC. PDTE. GABRIEL GONZALEZ VIDELA,SANTIAGO,SANTIAGO CENTRO,1,52,1808,253,218,471
8502,2,LICEO COMERCIAL LUIS CORREA PRIETO,RECOLETA,SANTIAGO NORTE,4,25,956,283,361,644
8503,0,INST.SUP.DE COMERCIO EDUARDO FREI M.,SANTIAGO,SANTIAGO CENTRO,1,63,2486,542,778,1320
8504,9,LICEO TECNICO A Nå¡ 27 CLELIA CLAVEL DINAT,SANTIAGO,SANTIAGO CENTRO,4,31,1205,4,720,724
8505,7,LICEO POLIVALENTE A-28 EMILIA TORO DE BAL,SANTIAGO,SANTIAGO CENTRO,4,51,1812,4,1034,1038
8506,5,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,SANTIAGO,SANTIAGO CENTRO,4,35,1243,303,584,887
8507,3,LICEO COMERCIAL JOAQUIN VERA MORALES,SANTIAGO,SANTIAGO CENTRO,4,37,1472,481,497,978
8508,1,LICEO POLIVALENTE JUAN A.RIOS,QUINTA NORMAL,SANTIAGO PONIENTE,1,27,993,136,157,293
8510,3,LICEO PAULA JARAQUEMADA,RECOLETA,SANTIAGO NORTE,1,49,1826,3,365,368
8511,1,LICEO EXPERIMENTAL ARTISTICO B-65,MAIPU,SANTIAGO PONIENTE,4,95,2320,250,350,600
8513,8,ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY,SANTIAGO,SANTIAGO CENTRO,1,46,1673,358,269,627
8514,6,LICEO ROSA ESTER ALESANDRI RODRIGUEZ,INDEPENDENCIA,SANTIAGO NORTE,1,72,2830,1,1125,1126
8515,4,ESCUELA BASICA CORNELIA OLIVARES,INDEPENDENCIA,SANTIAGO NORTE,1,19,802,173,129,302
8518,9,LICEO ESTACION CENTRAL,ESTACION CENTRAL,SANTIAGO PONIENTE,1,63,2497,371,207,578
8519,7,ESCUELA BASICA PEDRO AGUIRRE CERDA,CERRILLOS,SANTIAGO PONIENTE,1,26,886,199,137,336
8520,0,ESCUELA BASICA PROVINCIA DE CHILOE,SANTIAGO,SANTIAGO CENTRO,1,40,1650,297,289,586
8521,9,ESCUELA CARLOS CONDELL DE LA HAZA,ESTACION CENTRAL,SANTIAGO PONIENTE,1,50,2112,497,363,860
8522,7,ESCUELA BASICA REPUBLICA DE COLOMBIA,SANTIAGO,SANTIAGO CENTRO,1,42,1700,384,286,670
8523,5,ESCUELA BASICA REPUBLICA DE PANAMA,SANTIAGO,SANTIAGO CENTRO,1,33,1262,232,177,409
8524,3,CENTRO DIAGNOSTICO,SANTIAGO,SANTIAGO CENTRO,1,0,0,0,0,0
8525,1,CENTRO DIAGNOSTICO,PROVIDENCIA,SANTIAGO ORIENTE,1,0,0,0,0,0
8529,4,ESCUELA DE PARVULOS ANTU-HUILEN,INDEPENDENCIA,SANTIAGO NORTE,1,21,777,142,154,296
8530,8,ESCUELA CADETE ARTURO PRAT CHACON,SANTIAGO,SANTIAGO CENTRO,1,50,1951,496,346,842
8531,6,ESCUELA BASICA IRENE FREI DE CID,SANTIAGO,SANTIAGO CENTRO,1,50,2015,318,239,557
8532,4,ESCUELA BASICA LIBERTADORES DE CHILE,SANTIAGO,SANTIAGO CENTRO,1,44,1584,239,207,446
8533,2,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,SANTIAGO,SANTIAGO CENTRO,1,51,2060,12,634,646
8535,9,LICEO REPUBLICA DE BRASIL,SANTIAGO,SANTIAGO CENTRO,1,44,1705,263,236,499
8536,7,ESCUELA REPUBLICA DE ISRAEL,SANTIAGO,SANTIAGO CENTRO,1,43,1655,301,295,596
8537,5,ESCUELA ARNALDO FALABELLA,ESTACION CENTRAL,SANTIAGO PONIENTE,1,47,1912,376,257,633
8540,5,ESCUELA BASICA REPUBLICA DE HAITI,SANTIAGO,SANTIAGO CENTRO,1,28,1064,160,125,285
8541,3,LICEO DE ADULTOS HERBERT VARGAS WALLIS,SANTIAGO,SANTIAGO CENTRO,1,43,1757,907,0,907
8542,1,LICEO SAN FRANCISCO DE QUITO,INDEPENDENCIA,SANTIAGO NORTE,1,57,2149,765,1,766
8544,8,ESCUELA BÌSICA ARTURO ALESSANDRI PALMA,ESTACION CENTRAL,SANTIAGO PONIENTE,1,63,2618,66,892,958
8546,4,ESC.BAS.BILINGUE REPUBLICA DEL PARAGUAY,RECOLETA,SANTIAGO NORTE,1,85,3513,643,606,1249
8547,2,ESCUELA NUEVA ZELANDIA,INDEPENDENCIA,SANTIAGO NORTE,1,24,897,245,147,392
8548,0,ESCUELA BASICA DR LUIS CALVO MACKENNA,SANTIAGO,SANTIAGO CENTRO,1,42,1650,388,309,697
8549,9,ESCUELA FERNANDO ALESSANDRI RODRIGUEZ,SANTIAGO,SANTIAGO CENTRO,1,31,1076,221,178,399
8550,2,ESCUELA DIFERENCIAL,SANTIAGO,SANTIAGO CENTRO,1,0,0,0,0,0
8551,0,ESC. ESP. LENG. CARDENAL RAUL SILVA H.,SANTIAGO,SANTIAGO CENTRO,1,0,0,0,0,0
8552,9,ESCUELA BAS SALVADOR SANFUENTES REP EEUU,SANTIAGO,SANTIAGO CENTRO,1,82,2851,1169,47,1216
8553,7,ESCUELA DE ADULTOS  JORGE ALESSANDRI R.,RECOLETA,SANTIAGO NORTE,1,58,2335,658,525,1183
8554,5,LICEO MUNICIPAL METROPOLITANO DE ADULTOS,SANTIAGO,SANTIAGO CENTRO,1,33,1107,377,250,627
8555,3,ESCUELA REPUBLICA EL LIBANO,SANTIAGO,SANTIAGO CENTRO,1,27,1036,150,82,232
8556,1,ESCUELA REPUBLICA DE AUSTRIA,ESTACION CENTRAL,SANTIAGO PONIENTE,1,41,1778,331,268,599
8558,8,ESCUELA BÌSICA HUMBERTO VALENZUELA GARCÍA,ESTACION CENTRAL,SANTIAGO PONIENTE,1,37,1540,233,229,462
8561,8,ESCUELA REPUBLICA DE ALEMANIA,SANTIAGO,SANTIAGO CENTRO,1,32,1238,184,150,334
8562,6,CIUDAD SANTIAGO DE CHILE,SANTIAGO,SANTIAGO CENTRO,1,42,1416,187,160,347
8563,4,ESCUELA BASICA REPUBLICA DE MEXICO,SANTIAGO,SANTIAGO CENTRO,1,42,1707,393,284,677
8564,2,ESCUELA BASICA REINO DE NORUEGA,QUINTA NORMAL,SANTIAGO PONIENTE,1,29,1018,261,258,519
8565,0,ESCUELA BASICA DR JUAN VERDAGUER PLANAS,RECOLETA,SANTIAGO NORTE,1,0,0,0,0,0
8567,7,ESC. DIFERENCIAL EDMUNDO DE AMICIS,SANTIAGO,SANTIAGO CENTRO,1,0,0,0,0,0
8568,5,ESCUELA DIFERENCIAL SANTA LAURA,QUINTA NORMAL,SANTIAGO PONIENTE,1,0,0,0,0,0
8569,3,ESCUELA BASICA REPUBLICA DEL ECUADOR,SANTIAGO,SANTIAGO CENTRO,1,41,1537,22,583,605
8571,5,LICEO DR HUMBERTO MATURANA ROMESIN,SANTIAGO,SANTIAGO CENTRO,1,30,948,23,21,44
8572,3,ESCUELA BASICA CAMILO MORI,INDEPENDENCIA,SANTIAGO NORTE,1,27,1030,186,124,310
8573,1,ESCUELA BASICA CD.ARTURO MERINO BENITEZ,INDEPENDENCIA,SANTIAGO NORTE,1,0,0,0,0,0
8575,8,ESCUELA BASICA REINA VICTORIA,SANTIAGO,SANTIAGO CENTRO,1,0,0,0,0,0
8576,6,ESCUELA BASICA REYES CATOLICOS,SANTIAGO,SANTIAGO CENTRO,1,31,1102,164,113,277
8577,4,ESCUELA,ESTACION CENTRAL,SANTIAGO PONIENTE,1,0,0,0,0,0
8579,0,ESCUELA BASICA UNION LATINOAMERICANA,ESTACION CENTRAL,SANTIAGO PONIENTE,1,26,1053,217,178,395
8581,2,ESCUELA BÌSICA F Nå¼ 64,SANTIAGO,SANTIAGO CENTRO,1,30,1193,193,112,305
8583,9,ESC.DIFERENCIAL REPUBLICA DE SUDAFRICA,SANTIAGO,SANTIAGO CENTRO,1,0,0,0,0,0
8584,7,ESCUELA DIFERENCIAL F-82,INDEPENDENCIA,SANTIAGO NORTE,1,0,0,0,0,0
8585,5,ESC. CENTRO DE CAPACITACION LABORAL SANTIAGO,SANTIAGO,SANTIAGO CENTRO,1,19,744,53,30,83
8586,3,ESCUELA DIFERENCIAL JUAN SANDOVAL C,SANTIAGO,SANTIAGO CENTRO,1,45,1770,170,90,260
8587,1,LICEO DE ADULTOS ESTACION CENTRAL,ESTACION CENTRAL,SANTIAGO PONIENTE,1,46,1689,409,389,798
8589,8,LICEO MIGUEL RAFAEL PRADO,INDEPENDENCIA,SANTIAGO NORTE,2,82,3236,964,884,1848
8590,1,INSTITUTO COMERCIAL PITAGORAS,INDEPENDENCIA,SANTIAGO NORTE,2,0,0,0,0,0
8592,8,LICEO JOSE MIGUEL INFANTE,SANTIAGO,SANTIAGO CENTRO,2,46,1709,0,985,985
8593,6,LICEO COMERCIAL ARTURO PRAT,SANTIAGO,SANTIAGO CENTRO,2,0,0,0,0,0
8598,7,COLEGIO ALTO PALENA,SANTIAGO,SANTIAGO CENTRO,2,17,516,126,171,297
8601,0,COLEGIO WUNMAN,SANTIAGO,SANTIAGO CENTRO,2,13,274,55,53,108
8603,7,CENTRO EDUCATIVO SALESIANOS ALAMEDA,SANTIAGO,SANTIAGO CENTRO,2,77,2916,1753,0,1753
8604,5,COLEGIO SANTA CRUZ,SANTIAGO,SANTIAGO CENTRO,2,57,1945,459,492,951
8609,6,COLEGIO SAN IGNACIO,SANTIAGO,SANTIAGO CENTRO,3,87,2819,1198,215,1413
8611,8,COLEGIO NUESTRA SENORA DE ANDACOLLO,SANTIAGO,SANTIAGO CENTRO,2,55,2160,627,472,1099
8612,6,LICEO IGNACIO CARRERA PINTO,INDEPENDENCIA,SANTIAGO NORTE,2,0,0,0,0,0
8613,4,COLEGIO FRANCISCANO MARIA REINA,ESTACION CENTRAL,SANTIAGO PONIENTE,2,27,723,0,457,457
8614,2,COLEGIO MARIA TERESA CANCINO AGUILAR,RECOLETA,SANTIAGO NORTE,2,76,2849,1,1138,1139
8615,0,ESCUELA COLEGIO POLIVALENTE STA FAMILIA,SANTIAGO,SANTIAGO CENTRO,2,55,2011,0,1000,1000
8616,9,COLEGIO POLIVALENTE PLUS ULTRA,INDEPENDENCIA,SANTIAGO NORTE,2,33,1174,550,531,1081
8617,7,LICEO POLIT. SARA BLINDER DARGOLTZ,SANTIAGO,SANTIAGO CENTRO,2,51,1779,0,822,822
8618,5,INSTITUTO DE ENS.MEDIA CLAUDIO MATTE,SANTIAGO,SANTIAGO CENTRO,2,26,1060,235,296,531
8620,7,COLEGIO SAN SEBASTIAN,SANTIAGO,SANTIAGO CENTRO,2,26,736,264,174,438
8621,5,ESCUELA TECNICA L.BDO.O'HIGGINS-DIURNA,INDEPENDENCIA,SANTIAGO NORTE,2,30,1116,0,0,0
8623,1,ESC. BAS. PART. TERESIANA DE SAN GABRIEL,INDEPENDENCIA,SANTIAGO NORTE,2,21,684,178,155,333
8625,8,CENTRO EDUC. CASA TALLERES SAN VICENTE DE PAU,SANTIAGO,SANTIAGO CENTRO,2,37,1499,569,81,650
8626,6,TECNICO AVENIDA RECOLETA,RECOLETA,SANTIAGO NORTE,2,0,0,0,0,0
8627,4,COLEGIO SANTA MARIA DE SANTIAGO,SANTIAGO,SANTIAGO CENTRO,2,95,3699,1013,1082,2095
8629,0,COLEGIO POLITÌäCNICO SANTA ANA,QUINTA NORMAL,SANTIAGO PONIENTE,2,53,1678,0,1100,1100
8630,4,LICEO FRANCES,SANTIAGO,SANTIAGO CENTRO,2,0,0,0,0,0
8631,2,COLEGIO ECHAURREN,ESTACION CENTRAL,SANTIAGO PONIENTE,2,45,1568,388,355,743
8632,0,LICEO POLIVALENTE SANTA JULIANA,RECOLETA,SANTIAGO NORTE,2,74,2652,820,765,1585
8634,7,LICEO RUIZ TAGLE,ESTACION CENTRAL,SANTIAGO PONIENTE,2,51,1896,916,0,916
8635,5,COMERCIAL AVDA.RECOLETA,RECOLETA,SANTIAGO NORTE,2,0,0,0,0,0
8636,3,LICEO LEONARDO MURIALDO,RECOLETA,SANTIAGO NORTE,2,67,2276,829,755,1584
8639,8,LICEO Y COLEGIO NUEVO HISPANO CHILENO,SANTIAGO,SANTIAGO CENTRO,2,28,915,216,239,455
8642,8,LICEO MANUEL BULNES DE SANTIAGO,SANTIAGO,SANTIAGO CENTRO,2,0,0,0,0,0
