Comuna,Región,Provincia,Población
Algarrobo,Valparaíso,San Antonio,13817
Alhué,Metropolitana,Melipilla,6444
Alto Biobío,Biobío,Biobío,5923
Alto del Carmen,Atacama,Huasco,5299
Alto Hospicio,Tarapacá,Iquique,108375
Ancud,Los Lagos,Chiloé,38991
Andacollo,Coquimbo,Elqui,11044
Angol,Araucanía,Malleco,53262
Antártica,Magallanes,Antártica Chilena,138
Antofagasta,Antofagasta,Antofagasta,361873
Antuco,Biobío,Biobío,4073
Arauco,Biobío,Arauco,36257
Arica,Arica y Parinacota,Arica,221364
Aysén,Aysén,Aysén,23959
Buin,Metropolitana,Maipo,96614
Bulnes,Biobío,Ñuble,21493
Cabildo,Valparaíso,Petorca,19388
Cabo de Hornos,Magallanes,Antártica Chilena,2063
Cabrero,Biobío,Biobío,28573
Calama,Antofagasta,El Loa,165731
Calbuco,Los Lagos,Llanquihue,33985
Caldera,Atacama,Copiapó,17662
Calera de Tango,Metropolitana,Maipo,25392
Calle Larga,Valparaíso,Los Andes,14832
Camarones,Arica y Parinacota,Arica,1255
Camiña,Tarapacá,Tamarugal,1250
Canela,Coquimbo,Choapa,9093
Cañete,Biobío,Arauco,34537
Carahue,Araucanía,Cautín,24533
Cartagena,Valparaíso,San Antonio,22738
Casablanca,Valparaíso,Valparaíso,26867
Castro,Los Lagos,Chiloé,43807
Catemu,Valparaíso,San Felipe de Aconcagua,13998
Cauquenes,Maule,Cauquenes,40441
Cerrillos,Metropolitana,Santiago,80832
Cerro Navia,Metropolitana,Santiago,132622
Chaitén,Los Lagos,Palena,5071
Chanco,Maule,Cauquenes,8928
Chañaral,Atacama,Chañaral,12219
Chepica,O'Higgins,Colchagua,15037
Chiguayante,Biobío,Concepción,85938
Chile Chico,Aysén,General Carrera,4865
Chillán,Biobío,Ñuble,184739
Chillán Viejo,Biobío,Ñuble,30907
Chimbarongo,O'Higgins,Colchagua,35399
Cholchol,Araucanía,Cautín,11611
Chonchi,Los Lagos,Chiloé,14858
Cisnes,Aysén,Aysén,6517
Cobquecura,Biobío,Ñuble,5012
Cochamó,Los Lagos,Llanquihue,4023
Cochrane,Aysén,Capitán Prat,3490
Codegua,O'Higgins,Cachapoal,12988
Coelemu,Biobío,Ñuble,15995
Coihueco,Biobío,Ñuble,26881
Coinco,O'Higgins,Cachapoal,7359
Colbún,Maule,Linares,20765
Colchane,Tarapacá,Tamarugal,1728
Colina,Metropolitana,Chacabuco,146207
Collipulli,Araucanía,Malleco,24598
Coltauco,O'Higgins,Cachapoal,19597
Combarbalá,Coquimbo,Limarí,13322
Concepción,Biobío,Concepción,223574
Conchalí,Metropolitana,Santiago,126955
Concón,Valparaíso,Valparaíso,42152
Constitución,Maule,Talca,46068
Contulmo,Biobío,Arauco,6031
Copiapó,Atacama,Copiapó,153937
Coquimbo,Coquimbo,Elqui,227730
Coronel,Biobío,Concepción,116262
Corral,Los Ríos,Valdivia,5302
Coyhaique,Aysén,Coyhaique,57818
Cunco,Araucanía,Cautín,17526
Curacautín,Araucanía,Malleco,17413
Curacaví,Metropolitana,Melipilla,32579
Curaco de Vélez,Los Lagos,Chiloé,3829
Curanilahue,Biobío,Arauco,32288
Curarrehue,Araucanía,Cautín,7489
Curepto,Maule,Talca,9448
Curicó,Maule,Curicó,149136
Dalcahue,Los Lagos,Chiloé,13762
Diego de Almagro,Atacama,Chañaral,13925
Doñihue,O'Higgins,Cachapoal,20887
El Bosque,Metropolitana,Santiago,162505
El Carmen,Biobío,Ñuble,12044
El Monte,Metropolitana,Talagante,35923
El Quisco,Valparaíso,San Antonio,15955
El Tabo,Valparaíso,San Antonio,13286
Empedrado,Maule,Talca,4142
Ercilla,Araucanía,Malleco,7733
Estación Central,Metropolitana,Santiago,147041
Florida,Biobío,Concepción,10624
Freire,Araucanía,Cautín,24606
Freirina,Atacama,Huasco,7041
Fresia,Los Lagos,Llanquihue,12261
Frutillar,Los Lagos,Llanquihue,18428
Futaleufú,Los Lagos,Palena,2623
Futrono,Los Ríos,Ranco,14665
Galvarino,Araucanía,Cautín,11996
General Lagos,Arica y Parinacota,Parinacota,684
Gorbea,Araucanía,Cautín,14414
Graneros,O'Higgins,Cachapoal,33437
Guaitecas,Aysén,Aysén,1843
Hijuelas,Valparaíso,Quillota,17988
Hualaihué,Los Lagos,Palena,8944
Hualañe,Maule,Curicó,9657
Hualpén,Biobío,Concepción,91773
Hualqui,Biobío,Concepción,24333
Huara,Tarapacá,Tamarugal,2730
Huasco,Atacama,Huasco,10149
Huechuraba,Metropolitana,Santiago,98671
Illapel,Coquimbo,Choapa,30848
Independencia,Metropolitana,Santiago,100281
Iquique,Tarapacá,Iquique,191468
Isla de Maipo,Metropolitana,Talagante,36219
Isla de Pascua,Valparaíso,Isla de Pascua,7750
Juan Fernández,Valparaíso,Valparaíso,926
La Calera,Valparaíso,Quillota,50554
La Cisterna,Metropolitana,Santiago,90119
La Cruz,Valparaíso,Quillota,22098
La Estrella,O'Higgins,Cardenal Caro,3041
La Florida,Metropolitana,Santiago,366916
La Granja,Metropolitana,Santiago,116571
La Higuera,Coquimbo,Elqui,4241
La Ligua,Valparaíso,Petorca,35390
La Pintana,Metropolitana,Santiago,177335
La Reina,Metropolitana,Santiago,92787
La Serena,Coquimbo,Elqui,221054
La Unión,Los Ríos,Ranco,38036
Lago Ranco,Los Ríos,Ranco,9896
Lago Verde,Aysén,Coyhaique,852
Laguna Blanca,Magallanes,Magallanes,274
Laja,Biobío,Biobío,22389
Lampa,Metropolitana,Chacabuco,102034
Lanco,Los Ríos,Valdivia,16752
Las Cabras,O'Higgins,Cachapoal,24640
Las Condes,Metropolitana,Santiago,294838
Lautaro,Araucanía,Cautín,38013
Lebu,Biobío,Arauco,25522
Licantén,Maule,Curicó,6653
Limache,Valparaíso,Marga Marga,46121
Linares,Maule,Linares,93602
Litueche,O'Higgins,Cardenal Caro,6294
Llaillay,Valparaíso,San Felipe de Aconcagua,24608
Llanquihue,Los Lagos,Llanquihue,17591
Lo Barnechea,Metropolitana,Santiago,105833
Lo Espejo,Metropolitana,Santiago,98804
Lo Prado,Metropolitana,Santiago,96249
Lolol,O'Higgins,Colchagua,6811
Loncoche,Araucanía,Cautín,23612
Longaví,Maule,Linares,30534
Lonquimay,Araucanía,Malleco,10251
Los Álamos,Biobío,Arauco,21035
Los Andes,Valparaíso,Los Andes,66708
Los Ángeles,Biobío,Biobío,202331
Los Lagos,Los Ríos,Valdivia,19634
Los Muermos,Los Lagos,Llanquihue,17068
Los Sauces,Araucanía,Malleco,7265
Los Vilos,Coquimbo,Choapa,21382
Lota,Biobío,Concepción,43535
Lumaco,Araucanía,Malleco,9548
Machali,O'Higgins,Cachapoal,52505
Macul,Metropolitana,Santiago,116534
Máfil,Los Ríos,Valdivia,7095
Maipú,Metropolitana,Santiago,521627
Malloa,O'Higgins,Cachapoal,13407
Marchihue,O'Higgins,Cardenal Caro,7308
María Elena,Antofagasta,Tocopilla,6457
María Pinto,Metropolitana,Melipilla,13590
Mariquina,Los Ríos,Valdivia,21278
Maule,Maule,Talca,49721
Maullín,Los Lagos,Llanquihue,14216
Mejillones,Antofagasta,Antofagasta,13467
